;Scopy version,f4beeb1
;Exported on,Friday August 30/08/2024
;Device,M2K
;Nr of samples,679
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 2
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,10,27.7238,-0.935152
1,10.1024,27.1701,-0.649412
2,10.2059,27.9767,-0.166355
3,10.3104,27.6717,-1.36502
4,10.416,27.5169,-1.91924
5,10.5226,27.2351,-1.11443
6,10.6304,27.7791,-0.655813
7,10.7392,27.311,-1.53862
8,10.8492,27.3311,-0.398815
9,10.9603,27.2636,-1.37995
10,11.0726,27.3184,-0.988727
11,11.1859,27.3616,-0.010556
12,11.3005,27.334,-1.17637
13,11.4162,27.4401,-1.37943
14,11.5331,27.1791,-1.34961
15,11.6512,27.6079,-1.88591
16,11.7705,27.6489,-0.876197
17,11.8911,27.6537,-0.617512
18,12.0128,27.6867,-1.39811
19,12.1359,27.4129,-0.466837
20,12.2601,28.0144,-1.11628
21,12.3857,27.4387,-1.13869
22,12.5125,27.7519,-2.14054
23,12.6407,27.6743,-360
24,12.7701,28.6062,-1.94464
25,12.9009,28.8884,-1.59124
26,13.033,28.2841,-1.5872
27,13.1665,27.667,-1.95836
28,13.3013,27.7398,-2.14461
29,13.4375,27.9792,-2.74879
30,13.5751,28.1934,-1.21194
31,13.7141,28.0811,-2.42852
32,13.8546,28.3558,-1.23902
33,13.9964,28.4606,-1.84616
34,14.1398,28.4663,-1.95567
35,14.2846,27.3322,-1.94648
36,14.4309,27.4653,-2.45766
37,14.5786,27.4561,-0.869721
38,14.7279,27.8675,-2.74889
39,14.8787,27.6413,-1.04983
40,15.0311,28.1881,-0.674817
41,15.185,28.6306,-1.49095
42,15.3405,29.1553,-2.05249
43,15.4976,28.6445,-1.56645
44,15.6563,28.8187,-0.586085
45,15.8167,27.8018,-360
46,15.9786,27.5101,-1.8517
47,16.1423,28.0296,-1.07871
48,16.3076,28.1305,-1.78527
49,16.4746,28.0298,-3.23046
50,16.6433,28.2559,-0.989635
51,16.8137,28.3509,-1.19506
52,16.9859,28.1823,-0.963287
53,17.1598,28.1765,-0.724094
54,17.3356,28.0604,-2.72133
55,17.5131,27.8006,-2.08684
56,17.6924,27.282,-2.01506
57,17.8736,27.5095,-1.97768
58,18.0566,27.9919,-1.00351
59,18.2416,27.9025,-4.02663
60,18.4284,27.1363,-2.37249
61,18.6171,27.562,-2.59431
62,18.8077,27.3621,-1.48924
63,19.0003,27.2846,-2.07546
64,19.1949,28.0535,-2.54401
65,19.3915,27.7303,-2.09099
66,19.59,27.8573,-2.60423
67,19.7907,27.4733,-2.51448
68,19.9933,28.4647,-1.7801
69,20.1981,27.5937,-2.3291
70,20.4049,27.8969,-2.35737
71,20.6139,27.5245,-2.48241
72,20.825,27.3698,-1.86752
73,21.0382,27.493,-3.6187
74,21.2537,27.4585,-2.23523
75,21.4713,27.6002,-2.60054
76,21.6912,27.6477,-2.47497
77,21.9133,27.3964,-2.85503
78,22.1377,27.1247,-3.55882
79,22.3644,27.5865,-2.70328
80,22.5934,27.8959,-3.76733
81,22.8248,27.6224,-3.34946
82,23.0585,27.5289,-2.95665
83,23.2947,27.2709,-4.01366
84,23.5332,27.7721,-3.52928
85,23.7742,27.9724,-3.15855
86,24.0177,27.8639,-3.77414
87,24.2636,29.1601,-2.5172
88,24.5121,27.8893,-2.90635
89,24.7631,27.7902,-3.66466
90,25.0167,28.2164,-2.55932
91,25.2729,27.8943,-3.72829
92,25.5317,27.7708,-4.56289
93,25.7932,28.8401,-3.71635
94,26.0573,28.4016,-2.74818
95,26.3241,27.3798,-3.76409
96,26.5937,27.6768,-2.73695
97,26.866,27.4245,-4.60717
98,27.1412,27.6122,-3.36872
99,27.4191,27.6976,-2.42681
100,27.6999,27.9602,-2.56594
101,27.9835,28.0573,-3.76764
102,28.2701,27.5042,-3.73637
103,28.5596,27.7043,-4.36015
104,28.8521,27.2633,-4.46238
105,29.1475,27.3948,-4.36748
106,29.446,27.4225,-4.56968
107,29.7476,27.4486,-4.14714
108,30.0522,27.1377,-3.93974
109,30.3599,28.9777,-5.67995
110,30.6708,27.9793,-4.23715
111,30.9849,28.1864,-5.6231
112,31.3022,27.9458,-5.05561
113,31.6228,27.6531,-4.44034
114,31.9466,27.7207,-4.85481
115,32.2738,27.6502,-4.00157
116,32.6043,27.8384,-4.70188
117,32.9381,27.9219,-4.40118
118,33.2754,27.579,-4.24305
119,33.6162,28.9513,-5.10441
120,33.9605,27.9864,-4.25378
121,34.3082,27.7347,-4.91674
122,34.6596,27.5444,-4.57586
123,35.0145,27.3985,-4.8866
124,35.3731,27.9407,-6.34853
125,35.7353,27.1738,-5.18024
126,36.1012,28.1045,-5.66993
127,36.4709,27.6852,-4.94415
128,36.8444,27.6128,-6.11177
129,37.2217,27.2096,-5.8975
130,37.6029,27.5722,-5.694
131,37.988,28.0011,-4.79163
132,38.377,29.0215,-5.68726
133,38.77,28.6051,-4.7124
134,39.167,28.2765,-3.72721
135,39.5681,28.0791,-4.59421
136,39.9733,27.8643,-5.59603
137,40.3826,27.5888,-5.72562
138,40.7962,27.2575,-5.58574
139,41.214,28.1919,-4.88327
140,41.636,28.4132,-5.12248
141,42.0624,27.8709,-5.59469
142,42.4931,27.9783,-5.55381
143,42.9283,28.0587,-5.39864
144,43.3679,27.2152,-5.94514
145,43.812,27.6691,-4.88801
146,44.2606,28.0607,-5.71022
147,44.7139,28.0893,-6.31618
148,45.1718,27.6193,-5.97208
149,45.6344,27.8917,-5.63562
150,46.1017,28.0702,-4.69738
151,46.5738,27.2329,-6.1076
152,47.0507,27.6268,-6.67394
153,47.5326,28.7519,-6.54226
154,48.0193,27.8633,-5.60516
155,48.5111,27.6314,-6.87414
156,49.0078,27.9391,-5.6186
157,49.5097,28.3196,-6.65699
158,50.0167,28.3147,-7.09508
159,50.5289,28.3832,-7.53625
160,51.0463,28.5383,-4.91835
161,51.5691,28.8815,-4.67034
162,52.0972,28.3533,-7.67662
163,52.6307,27.836,-6.47502
164,53.1696,28.6188,-7.16942
165,53.7141,29.0697,-5.82789
166,54.2642,28.8177,-7.14863
167,54.8199,27.6673,-7.73867
168,55.3813,28.4565,-6.61429
169,55.9484,28.7192,-7.19856
170,56.5213,27.4812,-7.88711
171,57.1001,28.1664,-8.38749
172,57.6849,28.2375,-8.06597
173,58.2756,28.1898,-7.7423
174,58.8724,28.7699,-6.5108
175,59.4753,28.1357,-6.90468
176,60.0843,28.6204,-7.82514
177,60.6996,28.4589,-6.78757
178,61.3212,28.3286,-8.12368
179,61.9492,28.4215,-6.62564
180,62.5835,28.5299,-9.74146
181,63.2244,28.639,-8.17437
182,63.8719,28.9892,-8.02049
183,64.526,27.7366,-8.74579
184,65.1867,28.5298,-8.11326
185,65.8543,28.1472,-10.6315
186,66.5287,28.2181,-8.21962
187,67.21,27.7857,-7.95623
188,67.8982,27.9521,-8.29257
189,68.5935,28.0729,-8.45958
190,69.296,28.0197,-9.82886
191,70.0056,28.4079,-10.9688
192,70.7225,27.6632,-9.86032
193,71.4467,27.494,-8.51367
194,72.1784,28.2383,-10.4789
195,72.9175,28.1345,-9.92315
196,73.6642,27.5401,-8.79006
197,74.4186,27.7402,-9.86002
198,75.1807,27.8566,-9.36978
199,75.9506,27.5931,-9.60472
200,76.7283,27.9249,-11.3228
201,77.5141,27.5539,-9.60959
202,78.3079,28.1059,-7.32333
203,79.1098,28.0373,-10.4584
204,79.9199,28.2931,-9.41827
205,80.7383,28.3146,-9.66527
206,81.5651,27.4301,-10.2549
207,82.4004,28.4151,-11.8546
208,83.2442,28.0236,-9.19517
209,84.0967,27.8467,-8.84825
210,84.9579,27.6304,-10.5337
211,85.8279,28.1263,-10.8294
212,86.7068,28.1474,-10.3024
213,87.5947,27.6,-11.4967
214,88.4917,27.7798,-11.3847
215,89.3979,27.9384,-10.5055
216,90.3134,27.9115,-11.1723
217,91.2383,27.8553,-11.4563
218,92.1726,28.0072,-11.6056
219,93.1165,27.4873,-11.1462
220,94.07,27.9583,-11.2132
221,95.0334,27.8599,-12.7775
222,96.0066,28.182,-12.304
223,96.9897,27.3985,-12.0927
224,97.9829,28.0417,-11.5311
225,98.9863,28.3056,-12.3052
226,100,28.7468,-11.7835
227,101.024,28.6155,-12.2479
228,102.059,28.0979,-14.4966
229,103.104,28,-11.794
230,104.16,28.5001,-13.2258
231,105.226,28.5224,-11.8189
232,106.304,28.3486,-11.0508
233,107.392,28.0944,-12.5534
234,108.492,28.602,-14.1952
235,109.603,28.5724,-11.7759
236,110.726,28.1675,-13.2301
237,111.859,28.7821,-13.0683
238,113.005,28.6632,-12.4324
239,114.162,28.4424,-14.1681
240,115.331,28.1045,-13.7521
241,116.512,27.9195,-14.2761
242,117.705,27.857,-13.5426
243,118.911,28.0616,-14.5732
244,120.128,28.1315,-16.1186
245,121.359,27.824,-13.4368
246,122.601,27.54,-15.755
247,123.857,27.9349,-14.7413
248,125.125,28.3484,-13.874
249,126.407,28.0271,-15.253
250,127.701,28.2339,-16.2479
251,129.009,28.1038,-16.4563
252,130.33,28.1098,-15.9634
253,131.665,28.0521,-17.182
254,133.013,27.5608,-17.4446
255,134.375,28.1597,-17.3
256,135.751,28.295,-16.9559
257,137.141,28.3726,-17.4386
258,138.546,27.965,-17.044
259,139.964,27.5591,-17.9026
260,141.398,27.7997,-18.2574
261,142.846,28.2152,-18.4401
262,144.309,28.0817,-16.0653
263,145.786,28.2589,-18.8104
264,147.279,28.4435,-16.0444
265,148.787,27.8206,-18.6136
266,150.311,28.1327,-18.1409
267,151.85,27.754,-18.6196
268,153.405,27.958,-20.2452
269,154.976,27.9166,-18.0895
270,156.563,28.231,-18.7829
271,158.167,27.9747,-19.8256
272,159.786,28.2555,-20.2011
273,161.423,28.0269,-20.1322
274,163.076,28.2395,-20.0097
275,164.746,28.2294,-17.9704
276,166.433,28.4292,-21.8519
277,168.137,28.0911,-20.2676
278,169.859,28.2844,-21.1288
279,171.598,28.249,-19.7133
280,173.356,28.0607,-19.8319
281,175.131,28.0776,-21.695
282,176.924,28.2144,-19.7952
283,178.736,27.8093,-22.675
284,180.566,27.6926,-22.773
285,182.416,27.8167,-21.2964
286,184.284,27.82,-21.593
287,186.171,27.9333,-21.6886
288,188.077,28.0412,-21.7944
289,190.003,28.1022,-22.1078
290,191.949,27.8313,-20.7692
291,193.915,27.7258,-22.2843
292,195.9,27.6644,-20.512
293,197.907,27.5386,-22.7964
294,199.933,28.241,-23.3464
295,201.981,28.0012,-23.4435
296,204.049,27.1663,-24.3167
297,206.139,27.4214,-24.1812
298,208.25,27.6238,-23.0795
299,210.382,27.9296,-24.064
300,212.537,28.2977,-25.4356
301,214.713,27.3407,-24.2954
302,216.912,27.7179,-25.4112
303,219.133,27.8412,-24.9377
304,221.377,27.9852,-25.4269
305,223.644,27.9644,-25.7961
306,225.934,27.7456,-27.0196
307,228.248,27.6714,-27.4593
308,230.585,27.5032,-26.3116
309,232.947,27.605,-27.3412
310,235.332,27.9588,-28.9676
311,237.742,27.6686,-28.0626
312,240.177,27.7615,-27.9647
313,242.636,27.5517,-26.5084
314,245.121,27.3231,-28.3141
315,247.631,27.5708,-27.0139
316,250.167,27.4285,-27.7826
317,252.729,27.522,-29.1241
318,255.317,27.5155,-29.6143
319,257.932,27.3168,-29.2032
320,260.573,27.5854,-29.4347
321,263.241,27.2194,-30.1877
322,265.937,26.9745,-29.4064
323,268.66,27.0538,-30.2149
324,271.412,27.2243,-31.2388
325,274.191,27.1796,-29.8618
326,276.999,26.9591,-32.0079
327,279.835,26.723,-32.3561
328,282.701,26.9884,-29.45
329,285.596,26.6889,-30.9264
330,288.521,26.9214,-31.5497
331,291.475,27.0599,-33.073
332,294.46,26.7342,-32.2118
333,297.476,26.6751,-32.6578
334,300.522,26.6755,-34.0677
335,303.599,26.9049,-34.4366
336,306.708,26.9182,-34.0868
337,309.849,26.7956,-36.2371
338,313.022,26.8264,-34.3374
339,316.228,26.8237,-35.4583
340,319.466,26.7399,-34.6065
341,322.738,26.7197,-35.4718
342,326.043,26.4853,-37.4239
343,329.381,26.7391,-36.5608
344,332.754,26.6078,-35.5148
345,336.162,26.9744,-36.5837
346,339.605,26.4363,-36.948
347,343.082,26.6638,-38.0179
348,346.596,26.6287,-36.4581
349,350.145,26.3372,-37.3635
350,353.731,26.3955,-38.3497
351,357.353,26.54,-39.7455
352,361.012,26.1863,-37.629
353,364.709,26.4633,-37.4504
354,368.444,26.2205,-38.4719
355,372.217,26.2153,-38.7408
356,376.029,26.063,-38.3144
357,379.88,26.2069,-39.9121
358,383.77,26.2,-39.0912
359,387.7,26.1769,-40.5716
360,391.67,25.9342,-41.4157
361,395.681,25.7072,-40.4511
362,399.733,25.9486,-39.4757
363,403.826,25.9401,-41.7167
364,407.962,25.9433,-40.0911
365,412.14,25.6019,-41.9844
366,416.36,25.4928,-43.8948
367,420.624,25.4361,-42.2332
368,424.931,25.9808,-42.8015
369,429.283,25.5812,-42.9649
370,433.679,25.5998,-42.14
371,438.12,25.7691,-41.2924
372,442.606,25.5365,-44.2927
373,447.139,26.0474,-41.2758
374,451.718,25.3251,-43.9549
375,456.344,25.1207,-44.5373
376,461.017,25.4532,-43.9181
377,465.738,25.3532,-42.0301
378,470.507,25.4791,-45.1803
379,475.326,25.1839,-44.4883
380,480.193,25.1865,-45.8068
381,485.111,25.1468,-44.8326
382,490.078,24.8767,-43.0602
383,495.097,25.0888,-43.1371
384,500.167,24.6943,-46.3182
385,505.289,24.5368,-45.1969
386,510.463,24.8644,-45.0123
387,515.691,24.5673,-45.9547
388,520.972,24.7684,-45.8677
389,526.307,24.4759,-43.8819
390,531.696,24.1493,-45.3975
391,537.141,24.6027,-44.7143
392,542.642,24.638,-45.0267
393,548.199,24.343,-45.2334
394,553.813,24.3918,-45.3013
395,559.484,24.2784,-47.6173
396,565.213,24.3082,-47.1116
397,571.001,24.2527,-46.6559
398,576.849,24.2622,-47.6085
399,582.756,24.1875,-47.4743
400,588.724,24.2077,-51.3671
401,594.753,24.0509,-47.1039
402,600.843,24.0336,-48.1792
403,606.996,23.806,-49.4691
404,613.212,23.7047,-51.3612
405,619.492,23.6977,-50.1793
406,625.835,23.5739,-46.278
407,632.244,23.6432,-50.4432
408,638.719,23.5934,-52.0795
409,645.26,23.562,-51.0231
410,651.867,23.4035,-51.7231
411,658.543,23.1287,-52.1045
412,665.287,23.2949,-52.5264
413,672.1,23.3317,-52.2343
414,678.982,23.3685,-52.3499
415,685.935,22.9757,-51.6772
416,692.96,22.8778,-52.7226
417,700.056,22.7397,-51.4119
418,707.225,22.7804,-53.2784
419,714.467,22.8482,-48.3632
420,721.784,22.5584,-52.9864
421,729.175,22.7667,-51.8061
422,736.642,22.563,-55.0725
423,744.186,22.5488,-53.1887
424,751.807,22.6447,-54.1017
425,759.506,22.5053,-53.728
426,767.283,22.326,-55.644
427,775.141,22.214,-55.4116
428,783.079,22.4197,-55.6783
429,791.098,22.0994,-56.7893
430,799.199,22.1983,-57.1492
431,807.383,21.8758,-57.2012
432,815.651,21.7956,-57.5685
433,824.004,21.8669,-58.7911
434,832.442,21.9431,-59.117
435,840.967,21.9255,-58.74
436,849.579,21.5669,-58.7608
437,858.279,21.6414,-58.7983
438,867.068,21.7286,-59.4423
439,875.947,21.5521,-59.7298
440,884.917,21.4723,-59.04
441,893.979,21.2644,-59.9437
442,903.134,21.1574,-59.2519
443,912.383,21.3132,-58.3506
444,921.726,21.2304,-58.9846
445,931.165,21.0607,-59.0341
446,940.7,20.5122,-59.5423
447,950.334,20.9162,-61.382
448,960.066,20.7739,-62.8409
449,969.897,20.6428,-59.0477
450,979.829,20.3424,-59.5763
451,989.863,20.5848,-61.6682
452,1000,20.6218,-57.7525
453,1010.24,21.3641,-58.4397
454,1020.59,20.9942,-60.8985
455,1031.04,20.9017,-62.2998
456,1041.6,20.9008,-60.5931
457,1052.26,20.9748,-58.0588
458,1063.04,20.5229,-63.3349
459,1073.92,20.9398,-60.752
460,1084.92,20.7375,-59.9708
461,1096.03,20.5182,-64.6603
462,1107.26,20.6651,-63.7798
463,1118.59,20.625,-64.1152
464,1130.05,20.6419,-60.8437
465,1141.62,20.438,-62.1033
466,1153.31,19.8994,-62.9777
467,1165.12,20.1476,-63.1322
468,1177.05,20.2957,-64.704
469,1189.11,20.0529,-65.8966
470,1201.28,19.9984,-60.9679
471,1213.59,19.811,-63.5272
472,1226.01,19.8794,-67.2219
473,1238.57,19.9615,-62.1968
474,1251.25,19.6915,-63.0419
475,1264.07,19.7269,-65.7665
476,1277.01,19.526,-64.0135
477,1290.09,19.3733,-65.5169
478,1303.3,19.3138,-64.0909
479,1316.65,19.1671,-66.7736
480,1330.13,19.3561,-67.5892
481,1343.75,19.6154,-63.3846
482,1357.51,19.3045,-61.5519
483,1371.41,19.2545,-61.9453
484,1385.46,18.9214,-64.4964
485,1399.64,19.195,-62.222
486,1413.98,18.3111,-64.4774
487,1428.46,18.9446,-62.9347
488,1443.09,18.8102,-63.1276
489,1457.86,18.5719,-66.14
490,1472.79,18.3938,-68.3905
491,1487.87,18.4628,-66.2383
492,1503.11,18.1119,-65.1555
493,1518.5,17.9374,-65.2742
494,1534.05,18.1115,-64.7261
495,1549.76,17.9139,-65.0411
496,1565.63,17.9703,-64.3776
497,1581.67,17.5487,-64.7542
498,1597.86,17.2783,-65.6816
499,1614.23,17.4382,-64.0788
500,1630.76,17.0043,-65.5805
501,1647.46,17.6294,-67.1146
502,1664.33,17.2193,-67.1921
503,1681.37,17.5659,-65.6334
504,1698.59,17.419,-65.7886
505,1715.98,17.4372,-66.0189
506,1733.56,17.484,-70.9351
507,1751.31,17.5662,-70.5435
508,1769.24,17.4847,-72.4596
509,1787.36,16.9404,-68.8657
510,1805.66,17.15,-69.5476
511,1824.16,17.1323,-69.9208
512,1842.84,17.0123,-71.4831
513,1861.71,16.6018,-68.4912
514,1880.77,17.3489,-70.2909
515,1900.03,17.1779,-72.7704
516,1919.49,17.2102,-68.9601
517,1939.15,16.8535,-70.5306
518,1959,16.87,-70.5622
519,1979.07,16.7289,-70.4812
520,1999.33,16.6977,-70.1646
521,2019.81,16.4386,-71.6115
522,2040.49,16.4984,-70.434
523,2061.39,16.4193,-70.4149
524,2082.5,16.7153,-69.3211
525,2103.82,16.2232,-70.6592
526,2125.37,16.1134,-70.4011
527,2147.13,16.1536,-71.6321
528,2169.12,16.2069,-69.9286
529,2191.33,15.7571,-69.6744
530,2213.77,15.9024,-69.6811
